id,url,genre_raw,form_label,title_full,author,book_name,book_id,year,period,text,body_len
klc:ITKC_MO_0004A_0040_010_0070,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0070&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,柏軒高卓蒼幢拂半天。小軒人靜散濃煙。根盤不惜靑苔色。劈破團團上砌錢。竹閣過簷修玉兩三叢。敲戛聲高小閣風。忽悟靑靑眞法性。齊腰雪重立庭中。石井轆轤聲斷睡寒虬。石罅狂噴自在流。水性人心若無垢。不須憑仗月輪秋。師詩云。汲罷僧歸山月上。十分淸鏡冷涵秋。故云。荷池幽禽入水擘靑羅。微動方池擁蓋荷。欲識禪心元自淨。秋蓮濯濯出寒波。盆池湖池空有去來潮。打岸無端破寂寥。爭似淺淸盆底水。只栽蘆葦聽蕭蕭。松徑落葉紛紛掃去稀。一條縈屈接雲微。替人幸有蒼髥叟。禪老何煩送客歸南澗潺湲界出翠巖根。閑裏奔忙靜裏喧。好在瑠璃澄碧色。歸來何日洗心煩。西臺擬窺弱水下崔嵬。却築凌雲萬丈臺。可笑東坡癡澁老。三山空說近東萊。,294
klc:ITKC_MO_0004A_0040_010_0080,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0080&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,去年方種花。得得君適至。兩手揮汙泥。對酌徑霑醉。今年花盛開。君又從何來。花於子獨厚。豈有前債哉。種日猶擧酒。況復繁開後。此酒君莫辭。此花不可負。,72
klc:ITKC_MO_0004A_0040_010_0090,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0090&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,三杯卯飮敵千藥。一枕春眠直萬金。莫遣黃鸎啼傍耳。夢魂方向玉樓尋。睡鄕偏與醉鄕隣。兩地歸來只一身。九十日春都是夢。夢中還作夢中人。,64
klc:ITKC_MO_0004A_0040_010_0100,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0100&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,一徑松陰訪足庵。曉風吹帽任欹簷。靑山繞屋雲生榻。碧樹低窓露滴簾。食罷仍傾霞液酒。醉餘還置水精鹽。此生何處開眉笑。贏得今朝四事兼。,64
klc:ITKC_MO_0004A_0040_010_0110,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0110&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,占斷巖根結小庵。薜蘿緣壁掛茅簷。晚涼新月偏窺戶。夜靜淸風自卷簾。山味好烹龍耳菌。僧筵不用虎形鹽。茶談未罷還浮白。簫洒中間闌熳兼。,64
klc:ITKC_MO_0004A_0040_010_0120,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0120&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,春風扇淑氣。朝日淸且美。駕言往西郊。塍壟錯如綺。土旣膏且腴。況復釃潭水。歲收畝千鍾。足可釀醇旨。何以度年華。日日花前醉。念此任胝手。意欲親耘耔。乘輿自忘還。岸幘聊徙倚。遠岫煙蒼茫。耀靈迫濛汜。月明返田廬。醉歌動隣里。快哉農家樂。歸田從此始。日高醉未起。簷鷰欺人飛。童僕方巾車。苦促南畝歸。起坐罷梳沐。長嘯出松扉。林深日未炤。草露猶未晞。徐行望淸川。決渠雨霏霏。田婦白葛裙。田夫綠麻衣。相携唱田隴。荷鋤如雲圍。勉哉趁菖杏。耕穫且莫違。,216
klc:ITKC_MO_0004A_0040_010_0130,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0130&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,自慙冠帶人間客。來對煙霞物外身。惠遠不禁陶令飮。儼公聊與習之親。氷消玉硯浮蟾腹。酒溢金巵沒鳳脣。最感皇親容惡客。許敎狂醉露天眞。,64
klc:ITKC_MO_0004A_0040_010_0140,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0140&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,初日映短霞。長風卷宿霧。四望喜新晴。傍林聊散步。造物固難料。陰雲忽紛布。電火掣金蛇。雷公屢馮怒。兒童報我來。入郭及未雨。我言天地內。浮生信如寓。彼此無眞宅。隨意且相住。何必戀洛塵。局促首歸路。換酒傾一壺。胸膈無細故。頽然臥前榮。萬木蒼煙暮。,120
klc:ITKC_MO_0004A_0040_010_0150,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0150&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,自聞群犬吠高聲。匣劒無端白日鳴。闕下牽來應有士。官家何惜一長纓。,32
klc:ITKC_MO_0004A_0040_010_0160,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0160&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,壯士心懷未易論。一軒長嘯又黃昏。鼻端莫見成風手。眼底空餘泣玉痕。鬱氣蟠胸難自洩。狂言到吻可堪呑。靑山不鎖歸歟路。恨我窮途獨叫閽。,64
